window,sigma,seed,terms,n_terms,coef,coef_rel_error,kept_true_term,right_term_set,recovered
5,1e-06,4,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,1.368287287314166,0.02621546548562459,True,False,False
5,1e-05,0,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,0.49042990355207894,0.6321775723359407,True,False,False
5,1e-05,1,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,0.4945412972804214,0.629094027039684,True,False,False
5,1e-05,2,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,0.49717756550757347,0.6271168258693199,True,False,False
5,1e-05,3,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,0.49534759406406514,0.6284893044519512,True,False,False
5,1e-05,4,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,0.4980768224577355,0.6264423831566984,True,False,False
5,0.0001,0,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,0.007441737904778159,0.9944186965714163,True,False,False
5,0.0001,1,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,0.007645840279986672,0.99426561979001,True,False,False
5,0.0001,2,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,0.007548572712094861,0.9943385704659288,True,False,False
5,0.0001,3,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,0.007598176476354794,0.9943013676427338,True,False,False
5,0.0001,4,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,0.007730938778901439,0.9942017959158238,True,False,False
5,0.001,0,1|u|u^2|u^3|u_x|u_xxx|u*u_x|u^2*u_x|(u_x)^2,9,0.0,1.0,False,False,False
5,0.001,1,1|u|u^2|u^3|u_x|u_xxx|u*u_x|u^2*u_x|(u_x)^2,9,0.0,1.0,False,False,False
5,0.001,2,1|u|u^2|u^3|u_x|u_xxx|u*u_x|u^2*u_x|(u_x)^2,9,0.0,1.0,False,False,False
5,0.001,3,1|u|u^2|u^3|u_x|u_xxx|u*u_x|u^2*u_x|(u_x)^2,9,0.0,1.0,False,False,False
5,0.001,4,1|u|u^2|u^3|u_x|u_xxx|u*u_x|u^2*u_x|(u_x)^2,9,0.0,1.0,False,False,False
5,0.01,0,1|u|u^2|u^3|u_x|u_xxx|u*u_x|u^2*u_x,8,0.0,1.0,False,False,False
5,0.01,1,1|u|u^2|u^3|u_x|u_xxx|u*u_x|u^2*u_x,8,0.0,1.0,False,False,False
5,0.01,2,1|u|u^2|u^3|u_x|u*u_x|u^2*u_x,7,0.0,1.0,False,False,False
5,0.01,3,1|u|u^2|u^3|u_x|u*u_x|u^2*u_x,7,0.0,1.0,False,False,False
5,0.01,4,1|u|u^2|u^3|u_x|u_xxx|u*u_x|u^2*u_x,8,0.0,1.0,False,False,False
11,0.0,0,u_xx,1,1.3328490835607651,0.00036318732942608456,True,True,True
11,0.0,1,u_xx,1,1.3328490835607651,0.00036318732942608456,True,True,True
11,0.0,2,u_xx,1,1.3328490835607651,0.00036318732942608456,True,True,True
11,0.0,3,u_xx,1,1.3328490835607651,0.00036318732942608456,True,True,True
11,0.0,4,u_xx,1,1.3328490835607651,0.00036318732942608456,True,True,True
11,1e-09,0,u_xx,1,1.332849083839626,0.0003631871202803838,True,True,True
11,1e-09,1,u_xx,1,1.332849078820987,0.0003631908842596787,True,True,True
11,1e-09,2,u_xx,1,1.3328490806850803,0.0003631894861896856,True,True,True
11,1e-09,3,u_xx,1,1.332849086247596,0.00036318531430301615,True,True,True
11,1e-09,4,u_xx,1,1.3328490822259627,0.00036318833052795263,True,True,True
11,2e-09,0,u_xx,1,1.3328490840303184,0.0003631869772611207,True,True,True
11,2e-09,1,u_xx,1,1.3328490739921797,0.0003631945058651942,True,True,True
11,2e-09,2,u_xx,1,1.332849077721784,0.0003631917086618919,True,True,True
11,2e-09,3,u_xx,1,1.3328490888472615,0.0003631833645538207,True,True,True
11,2e-09,4,u_xx,1,1.3328490808018802,0.0003631893985897583,True,True,True
11,5e-09,0,u_xx,1,1.3328490840733833,0.00036318694496245696,True,True,True
11,5e-09,1,u_xx,1,1.3328490589715898,0.00036320577130760645,True,True,True
11,5e-09,2,u_xx,1,1.3328490683062297,0.00036319877032764403,True,True,True
11,5e-09,3,u_xx,1,1.3328490961232518,0.00036317790756112966,True,True,True
11,5e-09,4,u_xx,1,1.3328490759938685,0.00036319300459858317,True,True,True
11,1e-08,0,u_xx,1,1.3328490823817776,0.00036318821366676524,True,True,True
11,1e-08,1,u_xx,1,1.3328490321566715,0.0003632258824963208,True,True,True
11,1e-08,2,u_xx,1,1.3328490508613575,0.0003632118539818041,True,True,True
11,1e-08,3,u_xx,1,1.3328491065065327,0.00036317012010045335,True,True,True
11,1e-08,4,u_xx,1,1.3328490661946792,0.00036320035399051154,True,True,True
11,2e-08,0,u_xx,1,1.3328490723858823,0.00036319571058818223,True,True,True
11,2e-08,1,u_xx,1,1.332848971849629,0.00036327111277817403,True,True,True
11,2e-08,2,u_xx,1,1.332849009400627,0.000363242949529774,True,True,True
11,2e-08,3,u_xx,1,1.3328491207354836,0.00036315944838727354,True,True,True
11,2e-08,4,u_xx,1,1.3328490398993638,0.000363220075477122,True,True,True
11,5e-08,0,u_xx,1,1.3328489894967213,0.00036325787745900007,True,True,True
11,5e-08,1,u_xx,1,1.3328487375107565,0.0003634468669325708,True,True,True
11,5e-08,2,u_xx,1,1.3328488324504557,0.00036337566215816075,True,True,True
11,5e-08,3,u_xx,1,1.3328491111213752,0.00036316665896857225,True,True,True
11,5e-08,4,u_xx,1,1.3328489074381207,0.00036331942140943596,True,True,True
11,1e-07,0,u_xx,1,1.3328486750099817,0.0003634937425136542,True,True,True
11,1e-07,1,u_xx,1,1.33284816888712,0.00036387333465986993,True,True,True
11,1e-07,2,u_xx,1,1.3328483623071556,0.00036372826963321225,True,True,True
11,1e-07,3,u_xx,1,1.3328489207613208,0.0003633094290093619,True,True,True
11,1e-07,4,u_xx,1,1.3328485080851173,0.00036361893616193575,True,True,True
11,2e-07,0,u_xx,1,1.3328473847698539,0.00036446142260954106,True,True,True
11,2e-07,1,u_xx,1,1.3328463639219275,0.00036522705855435156,True,True,True
11,2e-07,2,u_xx,1,1.3328467649239026,0.0003649263070729658,True,True,True
11,2e-07,3,u_xx,1,1.3328478862799475,0.00036408529003928436,True,True,True
11,2e-07,4,u_xx,1,1.3328470396900007,0.00036472023249939367,True,True,True
11,5e-07,0,u_xx,1,1.3328382239818704,0.00037133201359718093,True,True,True
11,5e-07,1,u_xx,1,1.3328356073763579,0.0003732944677315442,True,True,True
11,5e-07,2,u_xx,1,1.3328367160820118,0.0003724629384910805,True,True,True
11,5e-07,3,u_xx,1,1.3328395527961265,0.0003703354029050421,True,True,True
11,5e-07,4,u_xx,1,1.3328372770679577,0.0003720421990316414,True,True,True
11,1e-06,0,u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x,8,1.3281046814037345,0.00392148894719907,True,False,False
11,1e-06,1,u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x,8,1.327927633111384,0.004054275166461896,True,False,False
11,1e-06,2,u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x,8,1.3280862704153655,0.003935297188475795,True,False,False
11,1e-06,3,u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x,8,1.3280821860682646,0.003938360448801526,True,False,False
11,1e-06,4,u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x,8,1.3279535319141234,0.00403485106440743,True,False,False
11,1e-05,0,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,1.27830763949604,0.04126927037796996,True,False,False
11,1e-05,1,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,1.2760379453366013,0.04297154099754896,True,False,False
11,1e-05,2,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,1.2789738389662286,0.040769620775328475,True,False,False
11,1e-05,3,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,1.2818435878766534,0.03861730909250988,True,False,False
11,1e-05,4,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,1.2731157112258673,0.04516321658059946,True,False,False
11,0.0001,0,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,0.11926592057492044,0.9105505595688096,True,False,False
11,0.0001,1,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,0.11983910684367471,0.9101206698672438,True,False,False
11,0.0001,2,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,0.12153865697740486,0.9088460072669463,True,False,False
11,0.0001,3,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,0.12272283822492377,0.9079578713313072,True,False,False
11,0.0001,4,1|u|u^2|u^3|u_x|u_xx|u*u_x|u*u_xx|u^2*u_x|(u_x)^2,10,0.11673711088879564,0.9124471668334033,True,False,False
11,0.001,0,1|u|u^2|u^3|u_x|u*u_x|u^2*u_x|(u_x)^2,8,0.0,1.0,False,False,False
11,0.001,1,1|u|u^2|u^3|u_x|u*u_x|u^2*u_x|(u_x)^2,8,0.0,1.0,False,False,False
