seed,model,auc_er,auc_ba
0,logreg_dist,0.5624646143978077,0.5633397987624292
0,logreg_degree,0.6600343597016679,0.6466956567724675
0,logreg_features,0.6637159302033921,0.6513965376681234
0,mlp_features,0.6671457424609111,0.6476605782081395
0,gnn,0.6683866327828902,0.5854407706810941
1,logreg_dist,0.5624646143978077,0.5633397987624292
1,logreg_degree,0.6600343597016679,0.6466956567724675
1,logreg_features,0.6636849974498379,0.6511879734297863
1,mlp_features,0.6671271255259016,0.6530090773008461
1,gnn,0.6700518102140955,0.6439757164081177
2,logreg_dist,0.5624646143978077,0.5633397987624292
2,logreg_degree,0.6600343597016679,0.6466956567724675
2,logreg_features,0.663626712122539,0.651045430358161
2,mlp_features,0.6671990155364766,0.65272346167122
2,gnn,0.668465181927911,0.6420434604434049
