seed,model,field_rmse,field_rmse_rel
0,mlp,0.0025236055111632558,0.006576800500223145
0,hnn,0.024722704264646716,0.06443015481435077
1,mlp,0.002205277951716315,0.005747202988668964
1,hnn,0.02502130715432066,0.06520834761250742
2,mlp,0.0019287052728783908,0.0050264234038713135
2,hnn,0.025565847312164967,0.06662748066109996
