seed,model,field_rmse,field_rmse_rel,energy_drift_final,energy_drift_max,state_error_final,state_error_mean,blew_up
0,mlp,0.004009175497194489,0.003826958161303046,0.16072953651660876,0.17200938954910555,1.490143672765244,1.2607206862095799,0
0,hnn,0.0012005476292503835,0.0011459826468080147,0.0006563942528805544,0.00196456914873111,0.09223804141870945,0.06813116543999967,0
1,mlp,0.0013729557973633814,0.001310554850368835,0.024092197316755576,0.024092197316755576,0.42720429623504214,0.16530042067972764,0
1,hnn,0.005290708127018265,0.005050245034155631,0.001761597954979155,0.00917669855274661,0.39364923009716385,0.22498547357275922,0
2,mlp,0.0007993083655279076,0.0007629797386009598,0.005538545762379776,0.006102511404745048,0.17071795487076832,0.07764492093431011,0
2,hnn,0.0027147907102769604,0.0025914032628889198,0.000728165681057491,0.0032539901166779295,0.11547129431344427,0.0958835965379906,0
