model,fit_seconds,n_parameters,auc
gradient boosting,3.480114899997716,12188.0,0.6394082942358555
hyperdimensional,55.602978700000676,730000.0,0.5594127986464572
logistic regression,0.21791649999795482,8.0,0.543897802367636
majority class,0.003450400006840937,1.0,0.5
