kind,surrogate,buy_and_hold,best_return,best_excess,median_excess,n_beating
shuffle,0,8.90714427014821,5.756535054670431,-0.31801386247811714,-0.8425755787097335,0
shuffle,1,8.908699929066247,11.359816576229228,0.24737015599522394,-0.7594247195715931,10
shuffle,2,8.90750887556123,18.21402898661121,0.9393400730638048,-0.5279957956986219,143
shuffle,3,8.908761644705871,13.036987129872841,0.4166237551362062,-0.8221585994961619,3
shuffle,4,8.907980395393643,19.156242754375103,1.0343442306109143,-0.33723894324204784,236
shuffle,5,8.906949127792583,2.576339542248509,-0.6390069741838503,-0.9499337087229464,0
shuffle,6,8.907352653712774,41.589824345708934,3.2988097662747906,0.214650621928119,884
shuffle,7,8.907170487111703,6.986337768016703,-0.19388307908840596,-0.7332318785945201,0
shuffle,8,8.907575505195723,7.306302777089822,-0.16162104717407022,-0.7021869404146079,0
shuffle,9,8.907516410761843,8.823156960946232,-0.008514691908456218,-0.6892667835153226,0
shuffle,10,8.908990587588013,11.795065572900208,0.29125822250020983,-0.6602276236159528,12
shuffle,11,8.908162156569649,11.384534451104475,0.24993255614946275,-0.5588543986359388,10
shuffle,12,8.908027849320288,34.578270487974365,2.590852895151593,0.30625723771789637,1071
shuffle,13,8.907598682717131,4.73836862033421,-0.42081135862474406,-0.8897232698202651,0
shuffle,14,8.904451442349146,19.294454585546937,1.0490235833528891,-0.8781219421093138,14
shuffle,15,8.908002550085541,15.830266213562453,0.6986538031741976,-0.7595925813897131,55
shuffle,16,8.907405262336807,7.7778321619272415,-0.11401301052089385,-0.8500180430190893,0
shuffle,17,8.907475605027374,29.168845691718012,2.0450587914048826,0.19996051036011675,912
shuffle,18,8.906899768371868,20.001411132211135,1.1198772192345068,-0.17629732257353564,446
shuffle,19,8.90691718905276,15.753249207094978,0.691065836868757,-0.6026447052901165,54
shuffle,20,8.898180576062103,66.89056871207407,5.858893732072494,-0.33665687364277347,471
shuffle,21,8.895766049806776,23.31806108970315,1.457420776451964,-0.7145700692118305,14
shuffle,22,8.908432250650174,10.298235304857243,0.14026467750393845,-0.7378469937844199,14
shuffle,23,8.907613014149268,7.655565516172237,-0.12637226506414379,-0.749733835808316,0
shuffle,24,8.907309412442697,5.860397213901528,-0.30754184326922485,-0.7847179522361982,0
shuffle,25,8.914859496615536,31.78264598276232,2.3064155870239778,-0.7130230330625855,73
shuffle,26,8.906752247058776,51.85196931363934,4.3349440861742154,0.666671211386049,1144
shuffle,27,8.907868217162042,7.478293134431867,-0.14428684873441466,-0.7551045915714786,0
shuffle,28,8.908039431334,8.738948076131157,-0.017066076126836416,-0.6390460348183504,0
shuffle,29,8.909426031813572,9.08701087644032,0.017920800261955083,-0.7171254645154517,1
shuffle,30,8.907076471802894,6.273419078586195,-0.26583598104975814,-0.967221834628839,0
shuffle,31,8.908085174800215,12.965794690139314,0.4095351870469681,-0.6092388721643167,13
shuffle,32,8.907975685249726,9.009544388679197,0.010251206367076549,-0.8914880334206862,1
shuffle,33,8.906883263509357,16.40375125636485,0.7567332523710231,-0.7636433815030461,64
shuffle,34,8.907625994080247,4.739723363776312,-0.4206762177734842,-0.9115337848784069,0
shuffle,35,8.907023340458593,11.832707860142094,0.295314184608358,-0.8010562353606518,21
shuffle,36,8.89891099567113,13.680820921227895,0.4830743429906512,-0.5646788774321714,9
shuffle,37,8.9072499838416,23.70504905200837,1.493633358631456,-0.5375962115983375,125
