,log10_sup_construida_m2,log10_sup_terreno_m2,es_departamento,calidad_ponderada,anio_construccion,n_pisos,n_lineas_construccion,log10_avaluo_uf_per_m2
log10_sup_construida_m2,1.0,0.5513388035692519,-0.012703096198984236,-0.26530289816056873,-0.039136580039150715,-0.019487897329435813,0.4063603164193487,0.16212175995167008
log10_sup_terreno_m2,0.5513388035692519,1.0,,-0.3463479360689065,-0.2746333624904032,-0.45575791619308803,0.18576321353945618,0.577469064894478
es_departamento,-0.012703096198984236,,1.0,-0.5900932700541366,0.36560308956177756,0.8253321766165858,-0.4088559254863176,0.3998972813064779
calidad_ponderada,-0.26530289816056873,-0.3463479360689065,-0.5900932700541366,1.0,-0.455709916788055,-0.6543909879193412,0.20077996202472198,-0.7802344648348642
anio_construccion,-0.039136580039150715,-0.2746333624904032,0.36560308956177756,-0.455709916788055,1.0,0.4728519563492833,-0.009445035016585598,0.3318964410315012
n_pisos,-0.019487897329435813,-0.45575791619308803,0.8253321766165858,-0.6543909879193412,0.4728519563492833,1.0,-0.3572477361538868,0.43329819750241494
n_lineas_construccion,0.4063603164193487,0.18576321353945618,-0.4088559254863176,0.20077996202472198,-0.009445035016585598,-0.3572477361538868,1.0,-0.24705121300963467
log10_avaluo_uf_per_m2,0.16212175995167008,0.577469064894478,0.3998972813064779,-0.7802344648348642,0.3318964410315012,0.43329819750241494,-0.24705121300963467,1.0
