feature,vif
log10_sup_construida_m2,3.6223107999220945
log10_sup_terreno_m2,2.536316667683417
n_lineas_construccion,1.8429980243635284
calidad_ponderada,1.5705367945288513
n_pisos,1.5465834215901861
anio_construccion,1.278617934746547
