arm,model,n_folds,n_train,mae,mae_sd,r2,r2_sd,mdape,mdape_sd,fit_s,fit_s_sd,predict_s,total_s,peak_mem_mb
full,random_forest,25,644672.0,0.03937296839689397,0.0014710969710495213,0.8930158447980883,0.012742249725079183,4.660550527332387,0.21146085375730048,75.42308381200768,22.903130056778433,0.8676108159963042,76.29069462800399,2259.9532544000003
full,catboost,25,644672.0,0.04343906215749711,0.0014555862800056335,0.9017482349603153,0.01129360307088106,6.5912327592526525,0.1718671973899911,179.3175945360074,35.741407387383674,0.20059662398882205,179.5181911599962,664.40364032
full,lightgbm,25,644672.0,0.04826867424673084,0.0013904652406172642,0.8888975636630159,0.011393354057457603,7.710296360011876,0.22592138401304945,2.2125324800005184,1.1911007860858356,0.5040131319873035,2.7165456119878217,79.22843648
full,mlp,25,644672.0,0.04987496827503266,0.0017864095489588114,0.8822030168588446,0.012091016526639842,7.88045370674113,0.3260669062092992,38.0838739080308,4.498226044201902,0.18526716399006543,38.269141072020865,312.37423104000004
full,ridge,25,644672.0,0.0784254560795496,0.0017703116242177809,0.73537092552022,0.010860118305736568,13.422947799451048,0.3015728761155007,1.1841136079840362,0.22327562944836765,0.13012173600029198,1.3142353439843282,323.43506944
regime_limited,catboost,25,4760.32,0.07349609319289613,0.02564044262002707,0.6918196736196461,0.21588641292130414,11.502844144113707,4.027452552833671,27.713391592004335,7.138769514681379,0.005696456017903928,27.71908804802224,2.2667263999999956
regime_limited,tabpfn,20,4631.6,0.07466267516141306,0.02589647589705374,0.6739264098031278,0.23047815719910572,10.367939923497698,3.25784309557196,1.163829055003589,0.6543989321793803,198.43523489002254,199.59906394502613,506.7563008
regime_limited,lightgbm,25,4760.32,0.07865622358802882,0.024719222143177406,0.6489665882320783,0.2692803327015017,13.10284060771704,4.113619812115507,0.3416936640162021,0.21101580324912875,0.010581475999206265,0.35227514001540833,0.09109503999998189
regime_limited,random_forest,25,4760.32,0.07919089361029451,0.02583512584671265,0.6295522012703486,0.2662086166967888,13.119003121652483,4.853368789116093,0.3764411999983713,0.13774114506279878,0.05864807599224146,0.43508927599061276,3.9514931200000047
regime_limited,mlp,25,4760.32,0.0858742787856811,0.022459745430399348,0.6102890136882876,0.2008263060231322,13.987602465163445,4.11335717366945,0.6058671679813414,0.17508111654620473,0.009285403997637281,0.6151525719789788,0.042434559999990074
regime_limited,ridge,25,4760.32,0.09071978284701981,0.022820140072986633,0.6032149888523644,0.14494120031820543,15.413505962460333,4.958500596373549,0.023528295997530178,0.006369689018287173,0.008497336003929325,0.0320256320014595,0.44154879999998914
