arm,model,n_folds,n_train,mae,mae_sd,r2,r2_sd,mdape,mdape_sd,fit_s,fit_s_sd,predict_s,total_s,peak_mem_mb
full,random_forest,25,644672.0,0.03938241348326774,0.0014563947363268532,0.892980395039332,0.01252186621157111,4.663597106996894,0.21167640725458714,76.37819579199422,11.230121043179219,0.971772980010137,77.34996877200436,2258.36679168
full,catboost,25,644672.0,0.04346729573804554,0.0014093821816761457,0.9017075534351018,0.011285896854573207,6.601742040389948,0.14732631933661366,170.00647074800915,22.004657963137195,0.21463936400134112,170.2211101120105,676.05757952
full,lightgbm,25,644672.0,0.04826878662982288,0.0013905249779561854,0.8888973567127363,0.01139340886094094,7.710296360011888,0.22592138401303555,2.2329135600151493,0.7244087849151798,0.47651285599917176,2.7094264160143213,87.80431359999999
full,mlp,25,644672.0,0.04939197739425877,0.0016755776201608748,0.8832918186397596,0.010577325351118598,7.7512171766976765,0.35367880806056107,38.1857564199809,2.894516979553252,0.18895114002283658,38.374707560003735,325.27187968000004
full,ridge,25,644672.0,0.07842545770320528,0.0017703111923353268,0.7353709250895437,0.01086011631183772,13.422947336349655,0.3015711164919398,1.2335193880088626,0.17854600777835167,0.12804621600080277,1.3615656040096655,333.6855552
regime_limited,catboost,25,4760.32,0.07310926308441319,0.02651389255942985,0.6829000964080343,0.24809499636942622,11.10231955121327,3.6633666520297457,23.82356176799163,2.9255387187182116,0.004297656011767636,23.8278594240034,2.876047360000032
regime_limited,tabpfn,20,4631.6,0.07554530488752711,0.025564292445954727,0.6725137115838884,0.21211537952134024,10.706142200796162,3.460507577559677,0.8588932450162247,0.19072476532929725,147.4738421600021,148.33273540501833,495.54739200000006
regime_limited,lightgbm,25,4760.32,0.07902666836475586,0.02509429985570375,0.6448902015065792,0.27136509268704806,13.096164186764172,4.032056395181755,0.16083545599132773,0.12751599006654618,0.007760204002261112,0.16859565999358886,0.08929280000003922
regime_limited,random_forest,25,4760.32,0.07937841679588875,0.027028768923023333,0.614389382747068,0.31878228325095503,12.899159139883874,4.827216280567657,0.28887461600825187,0.06433956810409945,0.045419760006479855,0.3342943760147318,4.191846400000004
regime_limited,ridge,25,4760.32,0.09072051193611541,0.022820557917044848,0.6032099508912906,0.1449465347070021,15.414415290404412,4.958815976144867,0.020175819988362435,0.0045589001123218205,0.006802036017179436,0.02697785600554187,0.15368192000001493
regime_limited,mlp,25,4760.32,0.09114722640797739,0.026780967429141767,0.5482981937031284,0.29512493399613654,15.0258417590417,5.013333389219227,0.5225091000040993,0.1325470589467559,0.007686511990614176,0.5301956119947134,0.1710489600000141
