seed,rmse,ops_input,ops_hidden,ops_total,spike_rate,input_spike_rate
0,0.012970051728188992,229376.0,1573.047,230949.047,0.09601116943359375,1.0
1,0.015021609142422676,229376.0,1675.5505,231051.5505,0.10226748657226563,1.0
2,0.012828219681978226,229376.0,1051.331,230427.331,0.06416815185546874,1.0
