elevation,clear_sky_cf
-5.0,0.0
-4.5,0.0
-4.0,0.0
-3.5,0.0
-3.0,0.0
-2.5,0.0
-2.0,0.0
-1.5,0.0
-1.0,0.0
-0.5,0.0
0.0,0.0
0.5,0.021059489369477873
1.0,0.029861122217504456
1.5,0.029861122217504456
2.0,0.03656855497532286
2.5,0.03656855497532286
3.0,0.042276490080233535
3.5,0.042276490080233535
4.0,0.054243370300613984
4.5,0.054243370300613984
5.0,0.06478865463160531
5.5,0.06478865463160531
6.0,0.07711655353858887
6.5,0.07711655353858887
7.0,0.07407967202684743
7.5,0.07407967202684743
8.0,0.0863026613108092
8.5,0.0863026613108092
9.0,0.09956831099640498
9.5,0.09956831099640498
10.0,0.12478435054418588
10.5,0.12478435054418588
11.0,0.12711671560066098
11.5,0.12711671560066098
12.0,0.12897851378183975
12.5,0.12897851378183975
13.0,0.1683271177410762
13.5,0.1683271177410762
14.0,0.16646805141250046
14.5,0.16646805141250046
15.0,0.1897294771275767
15.5,0.1897294771275767
16.0,0.20097122319243269
16.5,0.20097122319243269
17.0,0.22071556267211428
17.5,0.22071556267211428
18.0,0.21820395396739853
18.5,0.21820395396739853
19.0,0.23983978638184245
19.5,0.23983978638184245
20.0,0.2270011644980001
20.5,0.2270011644980001
21.0,0.24278095593665253
21.5,0.24278095593665253
22.0,0.2875399087620512
22.5,0.2875399087620512
23.0,0.307398090550966
23.5,0.307398090550966
24.0,0.33574216976139715
24.5,0.33574216976139715
25.0,0.35481502541339144
25.5,0.35481502541339144
26.0,0.3217994721782762
26.5,0.3217994721782762
27.0,0.34515312971696094
27.5,0.34515312971696094
28.0,0.3744955686141291
28.5,0.3744955686141291
29.0,0.4085090659345172
29.5,0.4085090659345172
30.0,0.38510078462542174
30.5,0.38510078462542174
31.0,0.4279141858977513
31.5,0.4279141858977513
32.0,0.42141665740420414
32.5,0.42141665740420414
33.0,0.4320379522289519
33.5,0.4320379522289519
34.0,0.49250958229333747
34.5,0.49250958229333747
35.0,0.4648893942549482
35.5,0.4648893942549482
36.0,0.49485833036640714
36.5,0.49485833036640714
37.0,0.508197009245422
37.5,0.508197009245422
38.0,0.46464711049499924
38.5,0.46464711049499924
39.0,0.46734018064265925
39.5,0.46734018064265925
40.0,0.5108391233093593
40.5,0.5108391233093593
41.0,0.5313521383283211
41.5,0.5313521383283211
42.0,0.5222371975755766
42.5,0.5222371975755766
43.0,0.5196316095203292
43.5,0.5196316095203292
44.0,0.5447621726540887
44.5,0.5447621726540887
45.0,0.5777150778621865
45.5,0.5777150778621865
46.0,0.5519914560991249
46.5,0.5519914560991249
47.0,0.5694704443768911
47.5,0.5694704443768911
48.0,0.5549643191944211
48.5,0.5549643191944211
49.0,0.5893394091709095
49.5,0.5893394091709095
50.0,0.5916874961303673
50.5,0.5916874961303673
51.0,0.5830261606844432
51.5,0.5830261606844432
52.0,0.5660102352506201
52.5,0.5660102352506201
53.0,0.5789709160458507
53.5,0.5789709160458507
54.0,0.5672006872976324
54.5,0.5672006872976324
55.0,0.5892226945270423
55.5,0.5892226945270423
56.0,0.5748426170750338
56.5,0.5748426170750338
57.0,0.6066982492994674
57.5,0.6066982492994674
58.0,0.590839115163166
58.5,0.590839115163166
59.0,0.5972633410134506
59.5,0.5972633410134506
60.0,0.6052664317620213
60.5,0.6052664317620213
61.0,0.6209665229036626
61.5,0.6209665229036626
62.0,0.605726602493448
62.5,0.605726602493448
63.0,0.605726602493448
63.5,0.605726602493448
64.0,0.605726602493448
64.5,0.605726602493448
