time,actual,B0 train mean,B1 climatology,B2 smart persistence,M ridge,M gbdt,M esn
2019-06-10 00:00:00+00:00,0.0,0.10235762977579373,0.0,0.0,0.002515826754197509,0.00013138243103124104,0.00019244807077951898
2019-06-10 01:00:00+00:00,0.0,0.10235762977579373,0.0,0.0,0.004556083522564355,0.00013138243103124104,0.0
2019-06-10 02:00:00+00:00,8.077544426494346e-05,0.10235762977579373,6.681757726088485e-05,0.0,0.006599704192875908,0.00020654742924535065,0.0
2019-06-10 03:00:00+00:00,0.0044426494345718905,0.10235762977579373,0.007060654177859646,0.0,0.009200878944530241,0.007373843541499856,0.0062490367262646035
2019-06-10 04:00:00+00:00,0.02544426494345719,0.10235762977579373,0.04487291882356986,0.07711655353858887,0.03329881444476203,0.03627949688413058,0.04233395013243357
2019-06-10 05:00:00+00:00,0.06894184168012923,0.10235762977579373,0.12160072488399845,0.06260039981172114,0.08341433509207598,0.06486608881473828,0.07393712299942447
2019-06-10 06:00:00+00:00,0.1242124394184168,0.10235762977579373,0.22508173069361476,0.12199835188218627,0.1397500420097605,0.11992754130850389,0.1250830632880506
2019-06-10 07:00:00+00:00,0.19050888529886914,0.10235762977579373,0.32408172818222586,0.15983839029167363,0.1917578621803751,0.18266147859483534,0.18431475410406975
2019-06-10 08:00:00+00:00,0.28533925686591277,0.10235762977579373,0.40566537356470594,0.23028260794784236,0.2622665167682055,0.2621392684759342,0.2554286452025883
2019-06-10 09:00:00+00:00,0.36484248788368334,0.10235762977579373,0.4579479222341241,0.31855304868246215,0.3769617807311467,0.35246451999636497,0.3612028388651482
2019-06-10 10:00:00+00:00,0.4023626817447496,0.10235762977579373,0.4862776665578164,0.36973162998734616,0.41261368256033215,0.4001915599477543,0.4098740778015329
2019-06-10 11:00:00+00:00,0.3971122778675283,0.10235762977579373,0.4922269293915023,0.42287950986493267,0.4050103736960129,0.4230595150910142,0.40973349554175686
2019-06-10 12:00:00+00:00,0.3630856219709208,0.10235762977579373,0.47386487711933284,0.3870719637346,0.3619124450716499,0.3862027228684043,0.373538883820182
2019-06-10 13:00:00+00:00,0.3010702746365105,0.10235762977579373,0.42829973666207716,0.35346134742501184,0.3117137449263483,0.3192354449595448,0.3177802829427042
