horizon,model,r2_all,r2_day,nrmse_all,nrmse_day,skill_vs_persistence,skill_vs_climatology,fit_seconds,n_test,n_test_day
1,B0 train mean,-0.001595333734662141,-0.50426901527115,0.14718217651563123,0.18871535427817718,-54.59644686664025,-7.239364693118796,,8758,3954
1,B1 climatology,0.8784377957476313,0.7545602966267495,0.051275317457422816,0.07622841512430643,-5.747661857117732,0.0,,8758,3954
1,B2 smart persistence,0.9819845441537443,0.9648486276937916,0.01973929795021577,0.02884799432452251,0.0,0.8518005168049203,,8758,3954
1,M ridge,0.9961774565640537,0.9937990434340102,0.009092541442457682,0.012116406251333815,0.7878186670063744,0.9685548361067016,0.02179589995648712,8758,3954
1,M gbdt,0.9972545059566007,0.9947374159087315,0.007705828293876967,0.01116205108865279,0.8476034097150006,0.9774149040790707,2.175185500062071,8758,3954
1,M esn,0.9980894511912501,0.9967714986624868,0.006428181686631033,0.008742687738377669,0.8939494606711852,0.9842833648789102,1.4503922000294551,8758,3954
24,B0 train mean,-0.0016402540167208546,-0.5035112689465147,0.14718547694572168,0.18866781744222738,-7.537923438617414,-7.239241541972794,,8758,3954
24,B1 climatology,0.8784305267767536,0.7545464140724094,0.05127685047181656,0.07623057090867423,-0.03625113975880656,0.0,,8758,3954
24,B2 smart persistence,0.8826833876857859,0.7633271866060949,0.05037195787134564,0.0748546300614267,0.0,0.03498296732126571,,8758,3954
24,M ridge,0.910888510128848,0.8203527193965527,0.043901153054780796,0.0652160972233255,0.2404188280472942,0.2669912313635644,0.011334100039675832,8758,3954
24,M gbdt,0.9009671214524619,0.8001672798621158,0.04628057818857207,0.0687824722650639,0.15584948632599382,0.18538037616008118,0.6740632000146434,8758,3954
24,M esn,0.9081150320895741,0.8150899541786116,0.04457910126493287,0.06616445427653585,0.21677786207867622,0.24417729653486964,1.4374687999952585,8758,3954
